name,type,square,direction,furnish,totalprice,unitprice,floortype,floors,year,structure,dealdate,other
吉利家园,3室2厅,143平米,西 南 , 精装,908,63634,高楼层,共20层,2001年,塔楼,2016.08.18,/满五年唯一/人大附中朝阳学校/距13号线芍药居493米
通惠家园,2室1厅,83平米,西南 , 简装,376,45095,高楼层,共28层,2001年,塔楼,2016.08.18,/满五年唯一/距1号线四惠东327米
富力城D区,3室2厅,132平米,南 , 其他,1030,78113,高楼层,共16层,2005年,板塔结合,2016.08.18,/芳草地国际学校双花园校区/距7号线广渠门外458米
秀水园,4室0厅,79平米,东 西 北 , 简装,375,47277,高楼层,共12层,1994年,板塔结合,2016.08.18,/满五年唯一/距6号线金台路429米
花家地小区,1室1厅,43平米,南 , 其他,269,62587,中楼层,共6层,1993年,板楼,2016.08.18,/花家地实验小学/距14号线 东段阜通820米
望京新城,3室2厅,122平米,西南 , 精装,635,51871,高楼层,共30层,1997年,塔楼,2016.08.18,/房本满两年/白家庄小学望京校区/距15号线望京315米
苹果社区北区,2室1厅,131平米,东北 , 其他,576,44020,中楼层,共21层,2008年,板塔结合,2016.08.18,/房本满两年/距10号线双井926米
瞰都国际,1室0厅,44平米,东 , 精装,300,67827,低楼层,共25层,2006年,塔楼,2016.08.18,/满五年唯一/距14号线 东段东风北桥205米
十里堡北里,2室1厅,54平米,南 北 , 精装,261.7,48080,高楼层,共6层,1984年,板楼,2016.08.18,/房本满两年/距6号线十里堡264米
望京花园西区,2室1厅,83平米,西南 , 精装,476,57020,高楼层,共26层,2000年,塔楼,2016.08.18,/首师大附属实验小学/距14号线 东段东湖渠385米
芳园南里西区,4室2厅,121平米,南 北 , 简装,475,39256,高楼层,共6层,1996年,板楼,2016.08.18,/满五年唯一/距14号线 东段将台654米
10AM新坐标,1室0厅,51平米,南 , 精装,265,51859,中楼层,共25层,2006年,塔楼,2016.08.18,/房本满两年/距14号线 东段方庄500米
富力城D区,2室1厅,93平米,东北 , 精装,820,87832,中楼层,共16层,2006年,塔楼,2016.08.18,/房本满两年/芳草地国际学校双花园校区/距7号线广渠门外256米
方家村,2室1厅,89平米,南 北 , 精装,275,30781,中楼层,共6层,1995年,板楼,2016.08.18,/满五年唯一
三源里南小街,2室1厅,63平米,南 北 , 简装,369,58946,低楼层,共6层,1981年,板楼,2016.08.18,/满五年唯一/距10号线亮马桥624米
慧谷阳光,3室2厅,138平米,南 北 , 精装,860,62332,高楼层,共9层,2004年,板楼,2016.08.18,/房本满两年/白家庄小学望京科技园分校/距15号线望京1159米
方丹苑,2室1厅,91平米,南 西 , 简装,510,56322,高楼层,共21层,2004年,塔楼,2016.08.18,/房本满两年/距10号线潘家园982米
南沙滩小区,2室1厅,55平米,南 北 , 简装,347.08,62616,高楼层,共6层,1991年,板楼,2016.08.18,/房本满两年/中科院附属实验学校/距15号线北沙滩628米
安贞西里,2室1厅,64平米,南 北 , 精装,378,58614,高楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一/距8号线北土城370米
梵谷水郡,2室2厅,91平米,西南 , 精装,478,52754,高楼层,共24层,2008年,塔楼,2016.08.18,/房本满两年
胜古南里,3室1厅,64平米,南 , 简装,380,59412,高楼层,共6层,1980年,板楼,2016.08.18,/房本满两年/樱花实验学校/距5号线和平西桥324米
柳芳北里,2室1厅,58平米,南 北 , 简装,315,54612,高楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一
松榆西里,1室2厅,63平米,南 , 简装,270,43165,高楼层,共18层,1985年,塔楼,2016.08.18,/房本满两年/垂杨柳中心小学/距10号线潘家园171米
后现代城,1室1厅,64平米,东南 , 精装,345,53831,低楼层,共18层,2004年,板塔结合,2016.08.18,/房本满两年/距7号线大郊亭726米
日月东华,3室2厅,122平米,东北 , 精装,480,39435,低楼层,共21层,1998年,塔楼,2016.08.18,/满五年唯一/距6号线十里堡1014米
华腾园,2室2厅,98平米,西南 西 , 精装,516,52503,低楼层,共28层,2000年,塔楼,2016.08.18,/房本满两年/距10号线劲松257米
八里庄北里小区,3室1厅,73平米,南 北 , 简装,340,46303,中楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一/距6号线十里堡697米
乐澜宝邸,4室2厅,263平米,南 北 , 简装,980,37251,低楼层,共16层,2003年,板塔结合,2016.08.18,/满五年唯一/距10号线劲松152米
金福家园,2室1厅,79平米,西南 北 , 精装,309,39228,低楼层,共18层,2000年,塔楼,2016.08.18,/满五年唯一/传媒附小/距6号线褡裢坡932米
北京财富中心,2室2厅,136平米,北 , 精装,840,61765,中楼层,共42层,2002年,塔楼,2016.08.18,/满五年唯一/距10号线金台夕照251米
小关北里,2室1厅,56平米,东南 西北 , 简装,305,54650,中楼层,共6层,1993年,板楼,2016.08.18,/房本满两年/距5号线惠新西街南口506米
芍药居北里,1室1厅,77平米,南 , 简装,495,63896,中楼层,共20层,2008年,板楼,2016.08.18,/房本满两年/人大附中朝阳学校/距13号线芍药居848米
东亚望京中心,1室1厅,61平米,西南 , 精装,215,35408,低楼层,共34层,2008年,塔楼,2016.08.18,/房本满两年/距14号线 东段阜通114米
团结湖北三条,2室1厅,55平米,南 , 简装,306,55636,中楼层,共6层,1981年,板楼,2016.08.18,/满五年唯一/距10号线团结湖427米
CBD总部公寓一期,1室1厅,88平米,西 北 , 精装,620,70447,低楼层,共9层,2004年,板塔结合,2016.08.18,/满五年唯一/芳草地国际学校双花园校区/距7号线广渠门外472米
公园五号,1室0厅,58平米,东 , 精装,369,63621,中楼层,共16层,2011年,塔楼,2016.08.18,/距6号线金台路73米
芍药居北里,3室1厅,118平米,南 北 , 精装,750,63732,中楼层,共20层,2008年,板楼,2016.08.18,/人大附中朝阳学校/距13号线芍药居885米
劲松九区,3室1厅,77平米,西北 , 简装,335,43734,高楼层,共16层,1986年,塔楼,2016.08.18,/距7号线广渠门外667米
甘露园南里,2室1厅,59平米,南 北 , 精装,280,47765,中楼层,共6层,1992年,板楼,2016.08.18,/距1号线四惠东667米
沿海赛洛城,2室2厅,92平米,南 北 , 精装,509,55513,低楼层,共11层,2007年,板楼,2016.08.18,/满五年唯一/距7号线百子湾825米
澳洲康都,2室1厅,87平米,东北 , 精装,569,65666,高楼层,共24层,2006年,板塔结合,2016.08.18,/满五年唯一/朝师附小望京校区/距14号线 东段东湖渠532米
方丹苑,2室1厅,96平米,南 西 , 精装,540,56485,中楼层,共22层,2002年,塔楼,2016.08.18,/满五年唯一/距10号线潘家园1078米
澳洲康都,2室2厅,108平米,南 , 精装,740,68272,中楼层,共22层,2006年,板塔结合,2016.08.18,/满五年唯一/朝师附小望京校区/距14号线 东段东湖渠609米
曙光里,1室1厅,45平米,南 , 简装,228,50265,高楼层,共6层,1987年,板楼,2016.08.18,/房本满两年/朝师附小西坝河校区/距机场线三元桥694米
马南里,2室1厅,68平米,东北 , 简装,230.5,33897,高楼层,共6层,2000年,塔楼,2016.08.18,
世奥国际中心,1室0厅,65平米,北 , 精装,210,32209,中楼层,共30层,2008年,塔楼,2016.08.18,/距5号线惠新西街北口1199米
奥林匹克花园三期,3室2厅,137平米,南 北 , 精装,735,53626,未知楼层,共10层,2007年,板楼,2016.08.18,/满五年唯一/奥林匹克花园小学
望馨花园,2室1厅,96平米,东南 , 精装,578,60171,中楼层,共28层,2001年,塔楼,2016.08.18,/满五年唯一/陈分小学部/距14号线 东段东湖渠619米
双惠小区,2室1厅,79平米,南 北 , 精装,292.5,37021,中楼层,共6层,2004年,板楼,2016.08.18,/满五年唯一/朝阳实验二小双桥校区/距八通线双桥750米
苹果社区北区,1室0厅,72平米,北 , 精装,365,50603,中楼层,共21层,2008年,板塔结合,2016.08.18,/满五年唯一/距10号线双井926米
美立方,2室1厅,81平米,南 , 其他,418,51605,中楼层,共17层,2011年,板楼,2016.08.18,/房本满两年/和平街一中/距5号线立水桥南484米
北京像素北区,2室1厅,57平米,东北 , 精装,218,38246,低楼层,共14层,2011年,板塔结合,2016.08.18,/满五年唯一/距6号线草房302米
百子湾家园二区,2室1厅,103平米,东南 , 精装,445,43284,中楼层,共22层,2006年,板塔结合,2016.08.18,/房本满两年/距1号线四惠东1018米
林达海渔广场,3室1厅,118平米,北 , 精装,270,22881,中楼层,共15层,2010年,塔楼,2016.08.18,/房本满两年
北京像素北区,2室1厅,57平米,东南 , 精装,216,37895,低楼层,共14层,2011年,板塔结合,2016.08.18,/满五年唯一/距6号线草房533米
澳洲康都,1室1厅,60平米,北 , 其他,388,64785,低楼层,共28层,2006年,塔楼,2016.08.18,/满五年唯一/朝师附小望京校区/距14号线 东段东湖渠712米
翠成馨园,3室2厅,141平米,南 北 , 精装,472,33587,高楼层,共14层,2007年,板塔结合,2016.08.18,/满五年唯一/距7号线双合997米
方舟苑二期,3室2厅,143平米,西 南 , 精装,650,45579,低楼层,共24层,2000年,塔楼,2016.08.18,/房本满两年/花家地实验小学
沿海赛洛城,1室1厅,48平米,东 , 精装,275,56983,高楼层,共6层,2007年,板楼,2016.08.18,/房本满两年/距7号线百子湾904米
南平里,2室1厅,65平米,东 西 北 , 其他,180,27536,中楼层,共6层,1992年,板楼,2016.08.18,
南平里,2室1厅,65平米,东 西 北 , 其他,180,27536,中楼层,共6层,1992年,板楼,2016.08.18,
六里屯北里,3室1厅,82平米,南 北 , 简装,410,50061,高楼层,共6层,1985年,板楼,2016.08.18,/距10号线团结湖859米
芍药居北里,3室1厅,118平米,南 北 , 简装,732,62034,高楼层,共20层,2008年,板楼,2016.08.18,/房本满两年/人大附中朝阳学校/距13号线芍药居885米
富力又一城A区,2室2厅,88平米,南 , 精装,405,46270,中楼层,共13层,2005年,板楼,2016.08.18,/芳草地学校富力分校
壹线国际,1室1厅,85平米,南 , 精装,444.5,52190,低楼层,共9层,2008年,板楼,2016.08.18,/满五年唯一/距1号线四惠380米
西八间北里,2室1厅,60平米,南 北 , 简装,303,50132,低楼层,共6层,1988年,板楼,2016.08.18,/房本满两年/南湖中园小学/距14号线 东段阜通465米
亚运花园,1室0厅,25平米,东 西 , 其他,19.7,7817,地下室,共0层,1996年,塔楼,2016.08.18,/满五年唯一/距5号线惠新西街北口887米
潘家园东里,2室1厅,66平米,东 南 , 简装,298,45309,低楼层,共18层,1994年,塔楼,2016.08.18,/距10号线潘家园469米
都市经典家园,1室1厅,69平米,西 , 精装,340,49462,中楼层,共26层,2003年,塔楼,2016.08.18,/满五年唯一/距1号线四惠东672米
新纪家园,1室1厅,71平米,南 , 精装,416,58608,高楼层,共21层,2002年,板塔结合,2016.08.18,/满五年唯一/朝师附小太阳宫校区/距10号线太阳宫160米
芍药居14号院,1室1厅,46平米,南 , 精装,316,69238,高楼层,共6层,1991年,板楼,2016.08.18,/房本满两年/人大附中朝阳学校/距13号线芍药居432米
望京西园一区,2室2厅,85平米,南 北 , 精装,460,54374,未知楼层,共6层,1997年,板楼,2016.08.18,/满五年唯一/白家庄小学望京科技园分校/距15号线望京910米
南平里,3室2厅,84平米,南 北 , 其他,268,31905,低楼层,共6层,1994年,板楼,2016.08.18,
南湖东园一区,2室1厅,70平米,南 北 , 其他,395,56761,低楼层,共6层,1998年,板楼,2016.08.18,/南湖东园小学/距15号线望京450米
安贞西里,2室1厅,61平米,南 北 , 简装,400,65232,低楼层,共16层,1987年,板塔结合,2016.08.18,/房本满两年/距8号线北土城370米
华贸国际公寓,1室1厅,64平米,东 , 精装,435,67494,低楼层,共26层,2005年,塔楼,2016.08.18,/房本满两年/距1号线大望路422米
水星园,1室1厅,62平米,西北 , 精装,499,79930,低楼层,共23层,2005年,板塔结合,2016.08.18,/房本满两年/朝师附小太阳宫校区/距10号线太阳宫432米
核桃园北里,2室1厅,61平米,南 , 简装,458,75640,中楼层,共6层,1981年,板楼,2016.08.18,/满五年唯一/白家庄小学/距6号线呼家楼394米
首开常青藤二期,2室2厅,83平米,南 北 , 精装,515,62311,高楼层,共6层,2011年,板楼,2016.08.18,/奥林匹克花园小学
枣营南里,2室1厅,63平米,南 北 , 简装,331,52282,高楼层,共6层,1985年,板楼,2016.08.18,/房本满两年/距14号线 东段枣营333米
望京花园西区,2室2厅,83平米,东南 , 其他,490,58697,高楼层,共24层,2000年,塔楼,2016.08.18,/首师大附属实验小学/距14号线 东段东湖渠217米
方华苑,2室1厅,89平米,东 , 简装,355,39933,低楼层,共22层,2000年,塔楼,2016.08.18,/满五年唯一/垂杨柳中心小学/距10号线潘家园746米
朝庭公寓,3室1厅,134平米,东南 西北 , 其他,776,57876,低楼层,共27层,2008年,板塔结合,2016.08.18,/满五年唯一/南湖中园小学/距14号线 东段望京南386米
京贸国际公寓,3室1厅,125平米,南 北 , 其他,385,30724,高楼层,共24层,2002年,塔楼,2016.08.18,/距八通线八里桥227米
润枫水尚,1室1厅,69平米,东 西 , 精装,467,67829,低楼层,共12层,2009年,板楼,2016.08.18,/满五年唯一/距6号线青年路702米
首城国际,1室0厅,47平米,西 , 其他,333,70851,高楼层,共28层,2010年,塔楼,2016.08.18,/距10号线劲松716米
畅清园,1室1厅,64平米,南 北 , 其他,400,62637,高楼层,共7层,2001年,板楼,2016.08.18,/北师大朝阳附小/距8号线林萃桥801米
安翔南里,2室1厅,57平米,南 北 , 毛坯,331,58584,高楼层,共6层,1989年,板楼,2016.08.18,/房本满两年/中科院附属实验学校/距8号线奥体中心767米
周庄嘉园南里,1室1厅,55平米,东 , 毛坯,223,40649,低楼层,共6层,2009年,板楼,2016.08.18,
中建玲珑山,1室0厅,50平米,西 , 精装,146.9,29380,中楼层,共14层,2013年,板塔结合,2016.08.18,/距八通线传媒大学775米
远洋天地三期,1室2厅,73平米,西 , 精装,408,55548,高楼层,共14层,2002年,板楼,2016.08.18,/芳草地远洋小学/距1号线四惠340米
朝阳门南大街,1室1厅,60平米,西南 , 精装,390,64816,高楼层,共20层,1996年,塔楼,2016.08.18,/房本满两年/距2号线朝阳门693米
壹线国际,1室0厅,52平米,东 , 简装,247,47409,低楼层,共9层,2008年,板楼,2016.08.18,/房本满两年/距1号线四惠416米
慧忠里,2室1厅,65平米,南 北 , 简装,490,75969,中楼层,共6层,1993年,板楼,2016.08.18,/满五年唯一/朝外小学部/距15号线安立路780米
安贞西里,1室1厅,50平米,南 北 , 简装,326,65686,低楼层,共16层,1987年,板塔结合,2016.08.18,/满五年唯一/距8号线北土城370米
万科青青家园,4室2厅,156平米,南 北 , 精装,593,38049,中楼层,共5层,2002年,板楼,2016.08.18,/满五年唯一
金地名京,4室2厅,89平米,东南 北 , 精装,790,88525,低楼层,共22层,2009年,塔楼,2016.08.18,/房本满两年/距1号线四惠202米
慧忠北里,3室1厅,118平米,东北 , 简装,618,52475,中楼层,共24层,2000年,塔楼,2016.08.18,/满五年唯一/距15号线安立路437米
望京新城,3室2厅,130平米,东南 , 精装,618,47630,中楼层,共30层,1997年,塔楼,2016.08.18,/房本满两年/白家庄小学望京校区/距15号线望京315米
团结湖北里,3室1厅,81平米,南 北 , 精装,498,61702,中楼层,共6层,1981年,板楼,2016.08.18,/满五年唯一/距6号线呼家楼506米
观湖国际,3室2厅,187平米,南 北 , 精装,1500,80278,中楼层,共27层,2006年,板楼,2016.08.18,/房本满两年/府学朝阳学校
青年汇佳园,3室2厅,129平米,南 北 , 精装,684.6,52971,中楼层,共13层,2008年,板塔结合,2016.08.18,/满五年唯一/距6号线青年路413米
华威西里,1室1厅,52平米,南 , 简装,225,43269,中楼层,共6层,1994年,板楼,2016.08.18,/房本满两年
美景东方,1室1厅,53平米,南 , 精装,310,57987,高楼层,共22层,2002年,塔楼,2016.08.18,/满五年唯一/距10号线潘家园775米
垂杨柳南里,3室1厅,78平米,南 北 , 精装,400,51073,低楼层,共5层,1963年,板楼,2016.08.18,/满五年唯一/距10号线劲松437米
大成国际,1室1厅,36平米,西 , 精装,205,56443,中楼层,共21层,2007年,板塔结合,2016.08.18,/满五年唯一/距7号线百子湾631米
团结湖北三条,1室1厅,44平米,南 , 简装,245,56231,中楼层,共18层,1990年,塔楼,2016.08.18,/距10号线团结湖553米
双花园南里二区,3室1厅,116平米,东南 , 精装,690,59273,中楼层,共22层,2002年,塔楼,2016.08.18,/房本满两年/芳草地国际学校双花园校区/距7号线广渠门外684米
双花园西里,2室1厅,53平米,南 , 精装,295,55660,低楼层,共7层,1989年,板楼,2016.08.18,/满五年唯一/距7号线广渠门外359米
十里堡北区,2室1厅,65平米,东 西 , 简装,252,38562,中楼层,共6层,1982年,板楼,2016.08.18,/满五年唯一/距6号线十里堡783米
安翔里小区,1室1厅,46平米,南 , 精装,272,58532,低楼层,共6层,1990年,板楼,2016.08.18,
旭辉奥都,1室1厅,49平米,东 , 精装,143.5,29430,低楼层,共19层,2008年,板塔结合,2016.08.18,/距5号线立水桥南420米
梵谷水郡,2室2厅,91平米,东南 北 , 精装,427,47146,低楼层,共24层,2008年,塔楼,2016.08.18,/房本满两年
北苑家园望春园,2室2厅,97平米,东 南 , 精装,454,47037,低楼层,共25层,2008年,塔楼,2016.08.18,/房本满两年/和平街一中/距5号线立水桥南648米
潘家园小区,1室1厅,44平米,东 , 精装,212,48073,高楼层,共16层,1990年,塔楼,2016.08.18,/距10号线潘家园1063米
碧水园,3室2厅,123平米,西北 , 精装,613,50020,低楼层,共21层,2000年,塔楼,2016.08.18,/房本满两年/距6号线金台路710米
安贞西里,2室1厅,57平米,南 , 精装,399,70000,低楼层,共16层,1987年,塔楼,2016.08.18,/房本满两年/距8号线北土城370米
雅成一里,2室1厅,87平米,西 , 精装,345,39792,低楼层,共24层,2001年,塔楼,2016.08.18,/满五年唯一/距6号线青年路595米
华贸国际公寓,4室2厅,219平米,南 北 , 精装,1430,65359,中楼层,共14层,2005年,板楼,2016.08.18,/满五年唯一/距1号线大望路422米
中环南路11号院,2室1厅,62平米,南 北 , 简装,360,57720,低楼层,共6层,1997年,板楼,2016.08.18,/满五年唯一/距14号线 东段阜通560米
圣馨大地,2室2厅,122平米,西 , 其他,660,54098,中楼层,共29层,2000年,塔楼,2016.08.18,/南湖中园小学/距15号线望京536米
芍药居,1室1厅,60平米,东 南 , 精装,360,59910,低楼层,共18层,1991年,塔楼,2016.08.18,/满五年唯一/人大附中朝阳学校/距13号线芍药居647米
炫特嘉园一期,2室1厅,74平米,南 , 精装,419.5,56415,低楼层,共28层,2004年,塔楼,2016.08.18,/距6号线十里堡765米
西坝河西里,2室1厅,56平米,南 , 简装,298,52781,高楼层,共6层,1988年,板楼,2016.08.18,/房本满两年/距13号线光熙门419米
大成国际,2室1厅,111平米,东南 , 精装,390,35154,高楼层,共21层,2007年,板塔结合,2016.08.18,/房本满两年/距7号线百子湾631米
水郡长安,3室2厅,148平米,西南 , 精装,522,35223,中楼层,共20层,2009年,板塔结合,2016.08.18,/房本满两年/朝阳实验二小双桥校区/距八通线双桥551米
名苑雅居,3室2厅,112平米,东南 , 精装,790,70460,高楼层,共14层,2005年,板塔结合,2016.08.18,/中科院附属实验学校/距15号线北沙滩873米
炫特嘉园三期,2室1厅,91平米,南 北 , 精装,450,49407,中楼层,共11层,2006年,板楼,2016.08.18,/房本满两年/距6号线十里堡877米
世茂奥临花园,2室1厅,119平米,南 , 精装,775,65318,中楼层,共26层,2004年,板塔结合,2016.08.18,
京通苑,2室1厅,68平米,南 北 , 简装,277.5,41105,高楼层,共6层,1996年,板楼,2016.08.18,/满五年唯一/二外附小/距八通线管庄708米
和平街西苑,1室1厅,47平米,南 , 精装,316.5,68006,中楼层,共7层,1997年,板楼,2016.08.18,/满五年唯一/距5号线和平西桥250米
兴隆家园,2室2厅,101平米,东 北 , 精装,401,39703,中楼层,共24层,2004年,塔楼,2016.08.18,/房本满两年/距八通线高碑店665米
健翔国际公寓,1室1厅,33平米,西 , 精装,182,54442,高楼层,共13层,2007年,塔楼,2016.08.18,/距10号线健德门348米
新源街,1室1厅,45平米,南 , 精装,266,59124,中楼层,共16层,1983年,塔楼,2016.08.18,/距10号线亮马桥600米
华威北里,2室1厅,65平米,南 , 简装,312.5,48218,低楼层,共19层,1992年,塔楼,2016.08.18,/房本满两年/距10号线潘家园129米
福怡苑,2室1厅,61平米,西南 , 精装,238,39313,低楼层,共7层,1998年,板楼,2016.08.18,/房本满两年/传媒附小/距6号线褡裢坡663米
北苑家园绣菊园,2室1厅,80平米,西南 , 精装,350.7,44074,中楼层,共25层,2000年,塔楼,2016.08.18,/满五年唯一/和平街一中/距13号线北苑742米
华威西里,2室1厅,57平米,南 北 , 简装,273,47561,低楼层,共6层,1984年,板楼,2016.08.18,/满五年唯一/距10号线潘家园545米
农光里,2室1厅,56平米,南 , 简装,271,48324,低楼层,共18层,1994年,塔楼,2016.08.18,/房本满两年/距10号线劲松346米
西坝河东里,3室1厅,79平米,东南 西北 , 简装,434.5,55084,高楼层,共24层,1986年,塔楼,2016.08.18,/满五年唯一/朝师附小西坝河校区/距10号线太阳宫501米
静安里,1室1厅,48平米,南 北 , 简装,233.5,48555,中楼层,共6层,1993年,板楼,2016.08.18,/满五年唯一
国风北京二期,2室2厅,108平米,东 南 西 北 , 简装,710,65516,低楼层,共14层,2005年,板楼,2016.08.18,/满五年唯一/望京实验学校/距14号线 东段望京南1199米
山水蓝维,1室1厅,65平米,南 , 其他,435.5,66509,低楼层,共6层,2004年,板楼,2016.08.18,/满五年唯一/距13号线北苑605米
澳景花庭,4室1厅,115平米,南 北 , 简装,495,43190,高楼层,共15层,2004年,板楼,2016.08.18,/满五年唯一/北师大朝阳附小/距8号线林萃桥934米
石韵浩庭,1室1厅,59平米,西北 , 简装,399,67961,低楼层,共15层,2004年,板楼,2016.08.18,/满五年唯一/距7号线九龙山373米
南平里,3室1厅,89平米,南 北 , 其他,230,25704,高楼层,共6层,1992年,板楼,2016.08.18,/房本满两年
弘善家园,2室1厅,73平米,东 , 精装,283,38767,中楼层,共19层,2009年,塔楼,2016.08.18,/满五年唯一/距10号线潘家园869米
美立方,1室0厅,45平米,南 , 精装,140,31111,低楼层,共13层,2011年,板塔结合,2016.08.18,/房本满两年/距5号线立水桥南449米
东平里,2室1厅,57平米,南 , 精装,160,28164,高楼层,共6层,1989年,板楼,2016.08.18,/满五年唯一
芳园里,1室1厅,40平米,南 , 简装,207,51750,高楼层,共6层,1990年,板楼,2016.08.18,/房本满两年/距14号线 东段将台261米
点击未来,1室0厅,41平米,东 南 , 精装,215,52748,高楼层,共14层,2004年,板塔结合,2016.08.17,/房本满两年/南湖中园小学/距14号线 东段阜通430米
石佛营西里小区,3室2厅,120平米,南 西北 , 精装,550,45952,高楼层,共18层,1997年,塔楼,2016.08.17,/满五年唯一
康城别墅一期,4室2厅,216平米,南 北 , 其他,920,42595,低楼层,共3层,2003年,板楼,2016.08.17,
农光里,2室1厅,91平米,东 西 , 精装,380,41938,高楼层,共14层,2000年,板塔结合,2016.08.17,/房本满两年/距10号线劲松559米
天乐园,2室2厅,89平米,南 , 精装,521,58618,中楼层,共11层,2005年,板楼,2016.08.17,/距5号线北苑路北532米
金福家园,2室1厅,79平米,西北 , 简装,303,38296,中楼层,共18层,2000年,塔楼,2016.08.17,/满五年唯一/传媒附小/距6号线褡裢坡1003米
南太平庄北巷,2室1厅,66平米,南 北 , 精装,280,42592,高楼层,共6层,2001年,板楼,2016.08.17,/满五年唯一/距八通线高碑店1009米
长安6号,1室0厅,73平米,北 , 精装,305,41536,高楼层,共18层,2005年,塔楼,2016.08.17,/满五年唯一/距1号线永安里750米
上东三角洲,3室2厅,139平米,北 南 , 精装,540,38849,中楼层,共16层,2004年,板楼,2016.08.17,/满五年唯一
石佛营东里105号院,2室1厅,59平米,南 北 , 毛坯,300,51073,低楼层,共6层,1997年,板楼,2016.08.17,/房本满两年
季景沁园,1室2厅,69平米,北 , 精装,465,67627,低楼层,共24层,2007年,板塔结合,2016.08.17,/满五年唯一/南湖中园小学/距13号线望京西736米
十里堡北里,3室1厅,90平米,南 北 , 简装,395,43685,高楼层,共13层,1989年,板塔结合,2016.08.17,/满五年唯一/距6号线十里堡335米
炫特嘉园一期,2室1厅,63平米,东北 , 精装,306,48364,低楼层,共22层,2004年,塔楼,2016.08.17,/距6号线十里堡773米
远洋天地一期,1室1厅,81平米,西 东 南 , 简装,530,65087,中楼层,共9层,2002年,板楼,2016.08.17,/满五年唯一/芳草地远洋小学/距1号线四惠562米
安贞西里,2室1厅,59平米,东 西 , 简装,305,51373,高楼层,共6层,1985年,板楼,2016.08.17,/房本满两年/距8号线北土城370米
牛王庙,1室1厅,36平米,南 , 精装,215.8,60448,中楼层,共5层,1976年,板楼,2016.08.17,/距10号线亮马桥437米
东柳西里,2室2厅,53平米,南 北 , 简装,198,37429,低楼层,共5层,1989年,板楼,2016.08.17,/满五年唯一/朝阳实验二小双桥校区/距八通线双桥838米
公安局宿舍,1室1厅,59平米,东 , 简装,306,51873,低楼层,共18层,2000年,塔楼,2016.08.17,/房本满两年/距15号线北沙滩508米
朝阳嘉园,2室2厅,107平米,西 , 简装,418,39065,低楼层,共24层,2006年,塔楼,2016.08.17,/满五年唯一/距6号线十里堡1122米
安慧东里,1室1厅,41平米,东 西 , 其他,225,54891,低楼层,共6层,1992年,板楼,2016.08.17,/安慧里中心小学/距5号线惠新西街北口386米
八里庄北里小区,2室1厅,54平米,南 北 , 简装,240,44256,高楼层,共6层,1982年,板楼,2016.08.17,/满五年唯一/距6号线十里堡315米
首城国际,2室1厅,88平米,西 , 简装,583,66340,低楼层,共18层,2010年,板塔结合,2016.08.17,/满五年唯一/距10号线劲松716米
风格派,1室0厅,51平米,东 , 其他,355,69214,高楼层,共19层,2007年,板塔结合,2016.08.17,/陈经纶中学嘉铭分校/距5号线大屯路东866米
安贞西里,2室1厅,57平米,南 北 , 精装,365,63500,高楼层,共6层,1986年,板楼,2016.08.17,/满五年唯一/距8号线安华桥294米
华纺易城,1室1厅,56平米,北 , 精装,321.5,57166,低楼层,共15层,2006年,板楼,2016.08.17,/房本满两年/距6号线青年路778米
芍药居2号院,3室1厅,64平米,南 北 , 简装,373,58731,高楼层,共6层,1982年,板楼,2016.08.17,/满五年唯一/人大附中朝阳学校/距13号线芍药居110米
柏阳景园,3室2厅,128平米,南 北 , 简装,380,29688,中楼层,共6层,2000年,板楼,2016.08.17,/满五年唯一
西坝河中里,2室1厅,61平米,南 北 , 精装,375,61234,中楼层,共6层,1987年,板楼,2016.08.17,/满五年唯一/距13号线光熙门831米
美利山,2室1厅,83平米,西 , 精装,313,37875,高楼层,共24层,2011年,塔楼,2016.08.17,/房本满两年/距7号线百子湾319米
双惠小区,1室1厅,59平米,东 西 , 精装,241,40682,低楼层,共6层,2004年,板楼,2016.08.17,/满五年唯一/朝阳实验二小双桥校区/距八通线双桥483米
旭辉奥都,1室0厅,49平米,西 , 其他,154,31429,高楼层,共19层,2008年,板塔结合,2016.08.17,/距5号线立水桥南420米
国美第一城2号院,2室2厅,96平米,南 , 其他,510,52910,高楼层,共27层,2006年,板塔结合,2016.08.17,/满五年唯一/距6号线青年路1098米
国美第一城3号院,2室1厅,98平米,南 北 , 精装,513,52347,高楼层,共27层,2007年,板塔结合,2016.08.17,/满五年唯一/距6号线青年路1177米
甘露园南里,1室1厅,51平米,北 , 精装,220,42944,高楼层,共6层,1994年,板楼,2016.08.17,/房本满两年/距1号线四惠东531米
松榆西里,3室2厅,103平米,南 , 简装,472,45914,高楼层,共6层,1995年,板楼,2016.08.17,/满五年唯一/垂杨柳中心小学/距10号线潘家园582米
安华里一区,1室1厅,34平米,西南 , 精装,275,81361,低楼层,共6层,1985年,板楼,2016.08.17,/满五年唯一/距8号线安华桥798米
十里堡北里,2室1厅,66平米,西南 , 精装,345,52289,高楼层,共21层,1991年,塔楼,2016.08.17,/满五年唯一/距6号线十里堡482米
安贞里,3室1厅,70平米,南 北 , 简装,488.8,69829,低楼层,共6层,1986年,板楼,2016.08.17,/满五年唯一/距8号线安华桥728米
